,0,1,,
20,0a0ebd53.jpeg,29-MAY-2019,,
21,0a8a955f.jpeg,22.05.2019,,
22,0b1664cb.jpeg,05/07/2019,,
24,0c60aa84.jpeg,28-Jun-2019,,
23,0c4672b4.jpeg,18/06/2019,,
25,0cc46a10.jpeg,03/Jun/2019,,
26,0cdf6ec0.jpeg,06/20/19,,
27,0daa6a1c.jpeg,04/13/2019,,
28,0e0dd005.jpeg,07-Jun-2019,,
29,0eda160c.jpeg,6/28/2019,,
30,0efaa622.jpeg,30.04.2019,,
2,01a0cabb.jpeg,"Sep 29, 2018",,
49,1a9c056c.jpeg,27-Jun-19,,
50,1ae93f0a.jpeg,,,
51,1afb9648.jpeg,,,
52,1b0a9723.jpeg,,,
53,1cd9dfed.jpeg,,,
54,1d900ca2.jpeg,,,
57,1ed34833.jpeg,,,
59,1f6a12e7.jpeg,,,
61,1f9bdf4a.jpeg,,,
60,1f880ba4.jpeg,,,
58,1f2e0222.jpeg,,,
3,02acce30.jpeg,,,
78,2ad1b322.jpeg,,,
80,2b577c41.jpeg,,,
81,2b931f74.jpeg,,,
79,2b4713c8.jpeg,,,
82,2bbb8522.jpeg,,,
83,2bdd2396.jpeg,NaN,,
85,2c942f50.jpeg,06/29/19,,
84,2c500858.jpeg,,,
86,2d27a624.jpeg,,,
4,02d54805.jpeg,,,
87,2de48561.jpeg,,,
89,2edff68d.jpeg,,,
90,2ef79975.jpeg,13-06-2019,,
91,2f36db66.jpeg,,,
5,02f4068e.jpeg,03/Jun/2019,,Blury
92,2fdd6a08.jpeg,,,
119,3bce4b60.jpeg,,,
120,3bf18630.jpeg,,,
121,3bfa05ad.jpeg,09/25/18,,
122,3c73f675.jpeg,23/05/2019,,Faded
123,3cdec471.jpeg,10/6/19,,Hand Written
124,3d06f10e.jpeg,,,
125,3deff9fb.jpeg,31/05/19,,NonPlane background
130,3f2f44eb.jpeg,,,
148,4a9af216.jpeg,,,
149,4abb6285.jpeg,,,
150,4af6d4a7.jpeg,15/06/2019,,Blury
153,4b8cfbf2.jpeg,11/06/19,,Hand Written
151,4b1911d2.jpeg,,,
152,4b494298.jpeg,,,
154,4bdd80e2.jpeg,,,
156,4d79fcf2.jpeg,,,
155,4d207768.jpeg,,,
157,4da45cc9.jpeg,,,
158,4dddf1eb.jpeg,,,
161,4ec4559a.jpeg,23-07-19,,
13,04f988a3.jpeg,,,
162,4f58927d.jpeg,,,
163,4f692e69.jpeg,,,
164,4fa1fc56.jpeg,,,
14,04fa5e11.jpeg,,,
165,4fdb8f6a.jpeg,,,
166,4fef1c7e.jpeg,,,
183,5afb1261.jpeg,,,
184,5b0d6748.jpeg,,,
185,5b6ee5a0.jpeg,,,
186,5bb556be.jpeg,,,
187,5bd0d02d.jpeg,,,
188,5c2b38f0.jpeg,,,
189,5c3075ae.jpeg,,,
191,5c79316b.jpeg,,,
190,5c670322.jpeg,,,
192,5ca33654.jpeg,,,
193,5cb08cab.jpeg,,,
195,5d63f1a2.jpeg,,,
194,5d069db5.jpeg,,,
196,5d80cb45.jpeg,,,
197,5dca8c72.jpeg,,,
15,05f91a79.jpeg,,,
199,5f2e42d9.jpeg,,,
200,5fb7995c.jpeg,,,
201,5ff14463.jpeg,,,
223,6a6e2a14.jpeg,,,
222,6a42604c.jpeg,,,
224,6bab0d7d.jpeg,,,
225,6bba9c45.jpeg,,,
226,6c447c78.jpeg,,,
227,6cb2b839.jpeg,,,
228,6d53e280.jpeg,,,
229,6dbdd84b.jpeg,,,
232,6eef3a7f.jpeg,,,
233,6f542182.jpeg,,,
259,7ab07a7e.jpeg,,,
260,7b987291.jpeg,,,
261,7ba45680.jpeg,,,
262,7c391a3a.jpeg,,,
263,7c9e38ba.jpeg,,,
264,7d3d33d3.jpeg,,,
267,7eb86b39.jpeg,,,
268,7ecbd11f.jpeg,,,
269,7f892b9b.jpeg,,,
298,8a07a435.jpeg,,,
299,8ae1cfcd.jpeg,,,
300,8b916b49.jpeg,,,
301,8c015834.jpeg,,,
302,8d93ed14.jpeg,,,
303,8dc11f3b.jpeg,,,
308,8f51d477.jpeg,,,
336,9a137cc9.jpeg,,,
337,9a8e24a1.jpeg,,,
338,9aca41c9.jpeg,,,
339,9ade947c.jpeg,,,
340,9ae2c1aa.jpeg,,,
341,9aff01ec.jpeg,,,
342,9b79f888.jpeg,,,
343,9bf563ad.jpeg,,,
346,9d315c3b.jpeg,,,
344,9d042023.jpeg,,,
345,9d135554.jpeg,,,
347,9dacc253.jpeg,,,
348,9df19b67.jpeg,,,
351,9f7dd143.jpeg,,,
349,9f100f6a.jpeg,,,
350,9f6518d2.jpeg,,,
352,9fbebaaf.jpeg,,,
353,9fc011f7.jpeg,,,
33,10e00c18.jpeg,,,
38,13b63796.jpeg,,,
39,13dc4bd4.jpeg,,,
43,15bb95a8.jpeg,,,
44,15ce8549.jpeg,,,
48,19aa65d3.jpeg,,,
64,20aaa16a.jpeg,,,
71,25ee2c0d.jpeg,,,
72,25f999dc.jpeg,,,
76,26ab5ac7.jpeg,,,
77,28fe14e7.jpeg,,,
100,31ad980e.jpeg,,,
101,32b4d880.jpeg,,,
102,32d10504.jpeg,,,
105,33fba310.jpeg,,,
9,037ef967.jpeg,,,
117,38d9d542.jpeg,,,
136,42a54355.jpeg,,,
137,42c85ea9.jpeg,,,
139,43d7cd10.jpeg,,,
138,43d4608f.jpeg,,,
140,43edeb2e.jpeg,,,
143,46ca4063.jpeg,,,
12,049c8dfd.jpeg,,,
170,52b8d251.jpeg,,,
171,52df6216.jpeg,,,
172,53c03235.jpeg,,,
177,55b59146.jpeg,,,
181,57c7c0a6.jpeg,,,
180,57c169de.jpeg,,,
205,62b3d78b.jpeg,,,
206,62f15742.jpeg,,,
208,63debea1.jpeg,,,
211,64bee512.jpeg,,,
212,64d55742.jpeg,,,
214,65f3d160.jpeg,,,
218,68c1c1de.jpeg,,,
16,068ea6e6.jpeg,,,
235,70b0dba1.jpeg,,,
236,70edf5c1.jpeg,,,
242,72b3b552.jpeg,,,
243,72edc0a9.jpeg,,,
249,74c2c549.jpeg,,,
254,75b7ef34.jpeg,,,
257,78bce3b1.jpeg,,,
272,80b2a0d5.jpeg,,,
273,80da81d4.jpeg,,,
275,81c972d3.jpeg,,,
279,82aed0de.jpeg,,,
280,83c9db9a.jpeg,,,
282,84dce936.jpeg,,,
287,86c91cbd.jpeg,,,
288,86ed0984.jpeg,,,
290,88c4cc0c.jpeg,,,
296,89d9667c.jpeg,,,
297,89f3c36a.jpeg,,,
313,91b2f85d.jpeg,,,
319,94c84d39.jpeg,,,
322,95ec3eab.jpeg,,,
324,96a5541a.jpeg,,,
325,96ccf006.jpeg,,,
326,96de25e8.jpeg,,,
329,97ae705c.jpeg,,,
31,102dd660.jpeg,,,
36,121a7302.jpeg,,,
40,148ebe90.jpeg,,,
41,150d4dde.jpeg,,,
1,0156b46f.jpeg,,,
42,156e0f63.jpeg,,,
47,194fc04c.jpeg,,,
65,212ab88f.jpeg,,,
67,223eba39.jpeg,,,
126,3e2e8c09.jpeg,,,
6,0308aae2.jpeg,,,
95,316b49e7.jpeg,,,
96,316d4f06.jpeg,,,
98,317fb684.jpeg,,,
103,332c05ec.jpeg,,,
106,349c23ef.jpeg,,,
7,0349ff40.jpeg,,,
8,0358c6c3.jpeg,,,
110,365c3104.jpeg,,,
113,375f34a9.jpeg,,,
115,379efbfc.jpeg,,,
10,0406cfb1.jpeg,,,
131,406d482f.jpeg,,,
134,417dc9c8.jpeg,,,
142,459b00d4.jpeg,,,
167,513a9167.jpeg,,,
169,522b71b7.jpeg,,,
175,557dc266.jpeg,,,
176,558a9aa9.jpeg,,,
202,603fdc0f.jpeg,,,
203,618ce259.jpeg,,,
209,643fab2f.jpeg,,,
210,648a919d.jpeg,,,
213,651f5503.jpeg,,,
220,693a7582.jpeg,,,
221,699f83d9.jpeg,,,
234,704f4322.jpeg,,,
239,715d59e4.jpeg,,,
17,0728f702.jpeg,,,
248,745b1998.jpeg,,,
251,752bb04a.jpeg,,,
271,804c5522.jpeg,,,
276,826bb4b1.jpeg,,,
295,899d661a.jpeg,,,
309,904efee7.jpeg,,,
312,912ad2e1.jpeg,,,
320,956be7eb.jpeg,,,
330,982b02cf.jpeg,,,
334,996ad591.jpeg,,,
335,997ba80b.jpeg,,,
56,1e3d07aa.jpeg,,,
34,1171a5da.jpeg,,,
70,2590a66d.jpeg,,,
127,3e3a4f77.jpeg,,,
107,3519f28b.jpeg,,,
144,4754f9e3.jpeg,,,
145,4883a482.jpeg,,,
11,04887bab.jpeg,,,
146,4934b499.jpeg,,,
168,5142a222.jpeg,,,
178,5753d0c6.jpeg,,,
179,5778a323.jpeg,,,
217,6878de95.jpeg,,,
241,7276fcd8.jpeg,,,
256,7757f74b.jpeg,,,
277,8290ec25.jpeg,,,
281,8457a646.jpeg,,,
283,8558b94e.jpeg,,,
285,8633fc48.jpeg,,,
293,8939f524.jpeg,,,
311,9081eb41.jpeg,,,
314,9219d71b.jpeg,,,
315,9347d5f7.jpeg,,,
321,9585fb50.jpeg,,,
333,9966a3ad.jpeg,,,
37,13531d03.jpeg,,,
45,16929bef.jpeg,,,
62,20888b5e.jpeg,,,
69,25635faa.jpeg,,,
74,26738bde.jpeg,,,
128,3e4e3b6a.jpeg,,,
93,30501b83.jpeg,,,
116,38863cee.jpeg,,,
159,4e4b0d9c.jpeg,,,
174,55291d91.jpeg,,,
204,62611b46.jpeg,,,
216,67784f13.jpeg,,,
219,69095b91.jpeg,,,
237,710e2d39.jpeg,,,
238,71548d28.jpeg,,,
244,73223a9f.jpeg,,,
245,73313aba.jpeg,,,
247,74346a8f.jpeg,,,
270,80247cd7.jpeg,,,
274,8185e1b8.jpeg,,,
278,82953a03.jpeg,,,
289,88382c50.jpeg,,,
294,89648cb6.jpeg,,,
310,90733c0d.jpeg,,,
323,96844b6d.jpeg,,,
328,97802ad1.jpeg,,,
73,265001bf.jpeg,,,
75,268027de.jpeg,,,
99,318663fa.jpeg,,,
111,36e4ad81.jpeg,,,
114,376101f2.jpeg,,,
173,551883ef.jpeg,,,
230,6e5b73db.jpeg,,,
207,637456ba.jpeg,,,
240,718914cd.jpeg,,,
253,758414d5.jpeg,,,
255,774194f1.jpeg,,,
305,8e5b620a.jpeg,,,
306,8e5f8da4.jpeg,,,
316,939492cb.jpeg,,,
318,946898a1.jpeg,,,
331,988159af.jpeg,,,
332,991302fd.jpeg,,,
0,01048818.jpeg,,,
35,1191438d.jpeg,,,
94,3055743f.jpeg,,,
133,4175425f.jpeg,,,
147,4982922a.jpeg,,,
231,6e6c8022.jpeg,,,
246,7383041e.jpeg,,,
250,7501533b.jpeg,,,
284,8600390d.jpeg,,,
286,8651523e.jpeg,,,
68,24847223.jpeg,,,
97,31761796.jpeg,,,
109,36285989.jpeg,,,
112,37176928.jpeg,,,
160,4e7babf5.jpeg,,,
135,41879403.jpeg,,,
141,44373191.jpeg,,,
252,75351233.jpeg,,,
307,8e7a99a9.jpeg,,,
129,3e8b3fad.jpeg,,,
104,3331e5f3.jpeg,,,
118,39e7c62a.jpeg,,,
182,58133e04.jpeg,,,
18,077124e4.jpeg,,,
108,3530e6d1.jpeg,,,
46,18e9efcf.jpeg,,,
66,21e9cc19.jpeg,,,
19,093304e6.jpeg,,,
317,942e9fb6.jpeg,,,
88,2e12ae7f.jpeg,,,
258,792e12f9.jpeg,,,
291,88e28b23.jpeg,,,
198,5e43dac3.jpeg,,,
265,7e60a259.jpeg,,,
132,40e86c08.jpeg,,,
63,208e94bb.jpeg,,,
32,105e97c5.jpeg,,,
327,96e270fd.jpeg,,,
55,1e288e8c.jpeg,,,
304,8e16764a.jpeg,,,
266,7e979c6c.jpeg,,,
215,66e32579.jpeg,,,
292,8930e861.jpeg,,,
358,a1cdfdde.jpeg,,,
360,a1ea8555.jpeg,28/06/2019,2019-06-28,Faded
362,a2ce1b5e.jpeg,03/12/19,2019-12-03,Slanting
364,a3dbcdaa.jpeg,,,
365,a3dd3ffb.jpeg,,,
368,a4aee2d5.jpeg,,,
371,a5b617de.jpeg,,,
374,a8c6b02c.jpeg,,,
375,a8d87938.jpeg,,,
376,a8f7689b.jpeg,,,
355,a17d8c2f.jpeg,,,
356,a18a7997.jpeg,"Jan 28, 2018",2018-01-28,
361,a26adf55.jpeg,,,
366,a44f4dd1.jpeg,,,
367,a47ae875.jpeg,,,
369,a55acac4.jpeg,,,
373,a72f96ca.jpeg,,,
372,a7001ecc.jpeg,,,
363,a34336fd.jpeg,17/07/2019,2019-07-17,
357,a190549c.jpeg,,,
354,a1468725.jpeg,,,
370,a5952274.jpeg,,,
377,a9800e10.jpeg,07-Jun-2019,2019-06-07,
359,a1e35140.jpeg,,,
378,aa33ae61.jpeg,,,
379,aa3640e5.jpeg,,,
380,aba42498.jpeg,,,
381,abcc056f.jpeg,,,
382,abd76c4b.jpeg,02/07/2019,2019-07-02,Faded
383,abf51544.jpeg,,,
384,ac676281.jpeg,,,
386,ad742eb5.jpeg,,,
385,ad2814be.jpeg,NaN,NaN,
387,adc1b1d1.jpeg,,,
388,ae906bad.jpeg,,,
389,ae94e526.jpeg,,,
390,aeb91209.jpeg,,,
391,afa578d9.jpeg,NaN,NaN,
392,aff8e5ab.jpeg,,,
395,b0ba1d29.jpeg,28 Jun 2019,2019-07-28,Shadow Cover
396,b0d5d8c5.jpeg,2013-08-10,2013-08-10,Creeze
398,b1c64bac.jpeg,,,
404,b3ed8ea1.jpeg,,,
394,b06a246f.jpeg,,,
410,b7c49556.jpeg,,,
411,b8c01c17.jpeg,7/2/2019,2019-02-07,Shadow Cover
412,b8c35020.jpeg,,,
413,b8cc912d.jpeg,,,
399,b21bee63.jpeg,,,
403,b31b7fba.jpeg,,,
406,b55eba8a.jpeg,,,
407,b57a5255.jpeg,,,
393,b0511c9e.jpeg,,,
405,b517f1ae.jpeg,,,
409,b666ee43.jpeg,,,
400,b22e3c57.jpeg,,,
402,b30773b0.jpeg,,,
397,b199704c.jpeg,,,
401,b2802844.jpeg,,,
414,b9130266.jpeg,,,
408,b5e8f967.jpeg,,,
415,bac3fe9e.jpeg,14-5-201,201-05-14,
416,badf0c6e.jpeg,,,
417,bb958b7f.jpeg,18/07/2019,2019-07-18,Overritten 
418,bbe8febc.jpeg,,,
419,bd30660c.jpeg,,,
420,bdc0019f.jpeg,,,
421,be838c96.jpeg,,,
422,beeb9566.jpeg,,,
423,bf0ce2ba.jpeg,,,
425,c1c6a9fa.jpeg,,,
428,c2c2d4ba.jpeg,5/4/2017,2017-04-05,
432,c4c67f2e.jpeg,,,
437,c6b7675c.jpeg,10/05/19,2019-05-10,Faded
438,c6f12b50.jpeg,,,
446,c8d5b927.jpeg,,,
448,c9afb011.jpeg,06/05/2019,2019-06-05,Faded
449,c9c0da83.jpeg,,,
450,c9d17f5f.jpeg,,,
424,c19fc15f.jpeg,,,
429,c43f882f.jpeg,,,
436,c69d5a43.jpeg,07/06/19,2019-06-07,
439,c70f7dac.jpeg,6/3/2019,2019-03-06,
443,c87ae05e.jpeg,,,
444,c89a5476.jpeg,,,
445,c89d1fc8.jpeg,25-Jul-2019,2019-07-25,Folded
447,c99a6da9.jpeg,,,
431,c478b53b.jpeg,,,
435,c660b2f7.jpeg,,,
426,c2195ac8.jpeg,,,
442,c78931cf.jpeg,,,
434,c532025f.jpeg,,,
430,c4580395.jpeg,,,
433,c5264903.jpeg,,,
441,c7643735.jpeg,25/7/19,2019-07-25,Hand Written
451,c9e60c74.jpeg,,,
440,c7323e60.jpeg,,,
427,c22e84bf.jpeg,,,
452,ca7a837e.jpeg,06/06/19,2019-06-06,Overritten 
453,cb4b0752.jpeg,12MAR’19,2019-03-12,
454,cbd9ab5e.jpeg,12/Jul/2019,2019-07-12,
455,cc3853bf.jpeg,,,
456,ccd6f8f5.jpeg,6/1/19,2019-01-06,
457,cce28d60.jpeg,,,
458,cd2e80f2.jpeg,,,
459,cdac31b4.jpeg,13-4-19,2019-04-13,Hand Written
460,ce4ec734.jpeg,,,
461,cec4ecc5.jpeg,"December 29, 2018",2018-12-29,Slanting + Blury
462,cec9988c.jpeg,,,
465,cf7b1404.jpeg,06/03/19,2019-06-03,Blury
464,cf78f2b0.jpeg,NaN,NaN,Faded
463,cf332c79.jpeg,17/05/2019,2019-05-17,2 dates (different)
466,cf964a62.jpeg,,,
474,d1a20345.jpeg,,,
475,d1c36f6e.jpeg,03/07/2019,2019-07-03,Faded
479,d2aaea28.jpeg,,,
468,d02db5bc.jpeg,06/17/2019,2019-06-17,Not Focused
484,d3df924c.jpeg,08/05/2019,2019-05-08,Overritten 
491,d5beec92.jpeg,,,
494,d7ddc370.jpeg,,,
476,d21be23d.jpeg,,,
469,d044bade.jpeg,,,
480,d310bd8c.jpeg,,,
483,d388a1e0.jpeg,,,
485,d406bbbf.jpeg,,,
487,d464ba5d.jpeg,,,
473,d1796a85.jpeg,07/09/19,2019-09-07,Slanting + Bad Quality
488,d48e2bc0.jpeg,,,
467,d022521e.jpeg,31/05/2019,2019-05-31,Faded + Bad Quality
478,d24165d5.jpeg,25-07-19,2019-07-25,Bad Quality
482,d37231f3.jpeg,,,
489,d50224be.jpeg,,,
470,d079725c.jpeg,,,
471,d119364e.jpeg,,,
481,d330054e.jpeg,28-05-19,2019-05-28,
486,d426211c.jpeg,,,
490,d543411c.jpeg,,,
492,d65531e1.jpeg,,,
493,d717748c.jpeg,,,
477,d2373192.jpeg,,,
495,d8601222.jpeg,,,
472,d1512e12.jpeg,,,
497,da1bf674.jpeg,,,
498,da2bf0dd.jpeg,06/03/2019,2019-03-06,Highlited
496,da0978f5.jpeg,10/25/2017,2017-10-25,2 dates (same tho)
499,da5e3696.jpeg,,,
500,db0ced42.jpeg,NaN,NaN,
501,db5b86d1.jpeg,"Jul 1, 2019",2019-07-01,
502,dbc70af6.jpeg,06/26/2019,2019-06-26,
503,dcd20d5a.jpeg,01/12/19,2019-12-01,Bad Quality
504,ddddaf89.jpeg,,,
506,de58dc3f.jpeg,,,
507,de847c7f.jpeg,,,
505,de279295.jpeg,,,
508,deda5875.jpeg,,,
509,deedf037.jpeg,,,
510,df00dff6.jpeg,,,
511,df06b272.jpeg,Sep07’18,2018-09-07,
512,df51a6f0.jpeg,,,
513,dfed1676.jpeg,,,
522,e2ab7e79.jpeg,,,
523,e2ce8f5a.jpeg,,,
525,e3a528ad.jpeg,,,
526,e3cdeead.jpeg,,,
533,e6afefba.jpeg,,,
534,e6b0240b.jpeg,,,
538,e7a6f8bd.jpeg,13-07-19,2019-07-13,Faded
541,e8dfe984.jpeg,18/06/2019,2019-06-18,Creeze
543,e9a07f75.jpeg,,,
524,e39a91cc.jpeg,,,
528,e50fe5f9.jpeg,05/04/19,2019-04-05,Creeze
532,e59fe62f.jpeg,,,
514,e093c331.jpeg,23/06/2019,2019-06-23,Clotted
516,e145bcc7.jpeg,,,
531,e562fd32.jpeg,,,
537,e756ff2c.jpeg,,,
539,e802d4e2.jpeg,,,
519,e2080a18.jpeg,06/01/19,2019-01-06,Blury
527,e4413fe0.jpeg,02/07/2019,2019-07-02,Faded
530,e5560cf1.jpeg,5/15/2019,2019-05-15,Creeze
535,e7205cbe.jpeg,6/24/2018,2018-06-24,Blury
518,e16297a7.jpeg,03/03/2015,2015-03-03,Blury
520,e226408d.jpeg,22-06-2019,2019-06-22,Faded
521,e29e4aac.jpeg,08/07/19,2019-07-08,Overritten + Malyalam
536,e737307f.jpeg,,,
540,e890664c.jpeg,31/5/19,2019-05-31,Hand Written
542,e968011e.jpeg,22/5/19,2019-05-22,Hand Written
517,e1540843.jpeg,,,
529,e5235e8c.jpeg,,,
515,e1363e44.jpeg,,,
544,eb1818b7.jpeg,,,
545,eb3698c6.jpeg,,,
548,ec5f70cb.jpeg,Apr07’16,2016-04-07,
549,ec8f6e40.jpeg,,,
547,ec1853b1.jpeg,,,
546,ec07892e.jpeg,06/02/2019,2019-02-06,Faded
550,ecb4f350.jpeg,,,
551,ed731156.jpeg,12/28/2017,2019-12-28,Slanting
552,ee13198f.jpeg,07/08/19,2019-08-07,Creeze
553,eea737a6.jpeg,,,
554,eed281d7.jpeg,,,
555,f0f599e0.jpeg,,,
560,f2c1e641.jpeg,,,
561,f2de425f.jpeg,,,
569,f8d4578f.jpeg,,,
574,f9aa53c2.jpeg,07/28/18,2018-07-28,Slanting
557,f16efae4.jpeg,29-6-2019,2019-06-29,Folded
563,f36b6c9d.jpeg,,,
564,f41ce8c7.jpeg,06/05/2019,2019-05-06,Shadow Cover
566,f74ffded.jpeg,06/11/19,2019-11-06,Blury
568,f85a0139.jpeg,,,
571,f92fcd42.jpeg,,,
556,f119f71a.jpeg,,,
565,f484b2e9.jpeg,,,
572,f963b6ca.jpeg,,,
573,f980a8bc.jpeg,29/05/2019,2019-05-29,Too ligh
558,f23085d1.jpeg,,,
559,f29424af.jpeg,,,
570,f9034671.jpeg,06/17/2019,2019-06-17,Bad Quality
562,f2e9be84.jpeg,22/05/2019,2019-05-22,Smudge on Datre
567,f78e114d.jpeg,,,
575,faaf2ba1.jpeg,,,
576,fae4ae81.jpeg,,,
579,fb5af2cc.jpeg,,,
580,fb7fb9d7.jpeg,,,
577,fb075aff.jpeg,,,
578,fb360175.jpeg,25AUG’17,2017-08-25,
581,fb835913.jpeg,,,
582,fb939620.jpeg,06/16/2019,2019-06-16,Folded
584,fc4ea984.jpeg,,,
585,fc6c8af2.jpeg,27/5/19,2019-05-27,Hand Written
583,fc4067f4.jpeg,,,
586,fc8e3dde.jpeg,,,
587,fdaae374.jpeg,,,
588,fe41933a.jpeg,,,
589,fecc3c48.jpeg,,,
590,fece09ba.jpeg,,,
591,ff2f420c.jpeg,,,
592,ff6b37aa.jpeg,,,
593,ff8e6691.jpeg,,,
594,ffe2a9a0.jpeg,,,
